In low_dim=7, alpha=0.01, gamma=0.00, consistency between cluster subtype and expression based subtype: 0.159
In low_dim=7, alpha=0.01, gamma=0.10, consistency between cluster subtype and expression based subtype: 0.116
In low_dim=7, alpha=0.01, gamma=1.00, consistency between cluster subtype and expression based subtype: 0.143
In low_dim=7, alpha=0.01, gamma=10.00, consistency between cluster subtype and expression based subtype: 0.137
In low_dim=7, alpha=0.01, gamma=100.00, consistency between cluster subtype and expression based subtype: 0.157
In low_dim=7, alpha=0.02, gamma=0.00, consistency between cluster subtype and expression based subtype: 0.156
In low_dim=7, alpha=0.02, gamma=0.10, consistency between cluster subtype and expression based subtype: 0.164
In low_dim=7, alpha=0.02, gamma=1.00, consistency between cluster subtype and expression based subtype: 0.185
In low_dim=7, alpha=0.02, gamma=10.00, consistency between cluster subtype and expression based subtype: 0.157
In low_dim=7, alpha=0.02, gamma=100.00, consistency between cluster subtype and expression based subtype: 0.176
In low_dim=7, alpha=0.10, gamma=0.00, consistency between cluster subtype and expression based subtype: 0.137
In low_dim=7, alpha=0.10, gamma=0.10, consistency between cluster subtype and expression based subtype: 0.161
In low_dim=7, alpha=0.10, gamma=1.00, consistency between cluster subtype and expression based subtype: 0.135
In low_dim=7, alpha=0.10, gamma=10.00, consistency between cluster subtype and expression based subtype: 0.114
In low_dim=7, alpha=0.10, gamma=100.00, consistency between cluster subtype and expression based subtype: 0.151
